facility_name,fac_index,tollbooth,tollseg,tolltype,useclass,tollea_da,tollam_da,tollmd_da,tollpm_da,tollev_da,tollea_s2,tollam_s2,tollmd_s2,tollpm_s2,tollev_s2,tollea_s3,tollam_s3,tollmd_s3,tollpm_s3,tollev_s3,tollea_vsm,tollam_vsm,tollmd_vsm,tollpm_vsm,tollev_vsm,tollea_sml,tollam_sml,tollmd_sml,tollpm_sml,tollev_sml,tollea_med,tollam_med,tollmd_med,tollpm_med,tollev_med,tollea_lrg,tollam_lrg,tollmd_lrg,tollpm_lrg,tollev_lrg
Carquinez Bridge GP,2000,2,0,bridge,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,10.9,10.9,10.9,10.9,10.9,18.17,18.17,18.17,18.17,18.17
Carquinez Bridge HOV,2003,2,0,bridge,3,0,0,0,0,0,0,0,0,0,0,3.5,1.75,3.5,1.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benicia-Martinez Bridge GP,1000,1,0,bridge,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.95,3.95,3.95,3.95,3.95,3.5,3.5,3.5,3.5,3.5,10.9,10.9,10.9,10.9,10.9,18.17,18.17,18.17,18.17,18.17
Benicia-Martinez Bridge HOV,1003,1,0,bridge,3,0,0,0,0,0,0,0,0,0,0,3.5,1.75,3.5,1.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioch Bridge GP,8000,8,0,bridge,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.95,3.95,3.95,3.95,3.95,3.5,3.5,3.5,3.5,3.5,4.36,4.36,4.36,4.36,4.36,8.18,8.18,8.18,8.18,8.18
Antioch Bridge HOV,8003,8,0,bridge,3,0,0,0,0,0,0,0,0,0,0,3.5,1.75,3.5,1.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond-San Rafael Bridge GP,3000,3,0,bridge,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.95,3.95,3.95,3.95,3.95,3.5,3.5,3.5,3.5,3.5,10.9,10.9,10.9,10.9,10.9,18.17,18.17,18.17,18.17,18.17
Richmond-San Rafael Bridge HOV,3003,3,0,bridge,3,0,0,0,0,0,0,0,0,0,0,3.5,1.75,3.5,1.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Francisco Bay Bridge GP,5000,5,0,bridge,0,2.91,4.2,2.91,4.2,2.91,2.91,4.2,2.91,4.2,2.91,2.91,4.2,2.91,4.2,2.91,3.16,3.16,3.16,3.16,3.16,2.91,2.91,2.91,2.91,2.91,4.2,4.2,4.2,4.2,4.2,8.18,8.18,8.18,8.18,8.18
San Francisco Bay Bridge HOV,5003,5,0,bridge,3,0,0,0,0,0,0,0,0,0,0,2.91,1.75,2.91,1.75,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Gate Bridge GP,4000,4,0,bridge,0,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,5.33,5.33,5.33,5.33,5.33,4.72,4.72,4.72,4.72,4.72,14.72,14.72,14.72,14.72,14.72,24.53,24.53,24.53,24.53,24.53
Golden Gate Bridge HOV,4003,4,0,bridge,3,0,0,0,0,0,0,0,0,0,0,4.72,3.32,4.72,3.32,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Mateo-Hayward Bridge GP,6000,6,0,bridge,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.95,3.95,3.95,3.95,3.95,3.5,3.5,3.5,3.5,3.5,10.9,10.9,10.9,10.9,10.9,18.17,18.17,18.17,18.17,18.17
San Mateo-Hayward Bridge HOV,6002,6,0,bridge,2,0,0,0,0,0,3.5,1.75,3.5,1.75,3.5,3.5,1.75,3.5,1.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumbarton Bridge GP,7000,7,0,bridge,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.95,3.95,3.95,3.95,3.95,3.5,3.5,3.5,3.5,3.5,10.9,10.9,10.9,10.9,10.9,18.17,18.17,18.17,18.17,18.17
Dumbarton Bridge HOV,7002,7,0,bridge,2,0,0,0,0,0,3.5,1.75,3.5,1.75,3.5,3.5,1.75,3.5,1.75,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 EL SB Andrade Rd to Washington Blvd,25014,25,1,expr_lane,4,0,0.15,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.02,0.02,0,0,0.15,0.02,0.02,0,0,0.15,0.02,0.02,0,0,0.15,0.02,0.02,0
I-680 EL SB Washington Blvd to Mission Blvd,25024,25,2,expr_lane,4,0,0.5,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.09,0.09,0,0,0.5,0.08,0.08,0,0,0.5,0.08,0.08,0,0,0.5,0.08,0.08,0
I-680 EL SB Mission Blvd to SR 237,25034,25,3,expr_lane,4,0,0.15,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.02,0.02,0,0,0.15,0.02,0.02,0,0,0.15,0.02,0.02,0,0,0.15,0.02,0.02,0
I-580 EL WB Hacienda Dr to Airway Blvd,29014,29,1,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL WB Airway Blvd to Livermore Ave,29024,29,2,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL WB Livermore Ave to Vasco Rd,29034,29,3,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL WB Vasco Rd to Greenville Rd,29044,29,4,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL WB,29054,29,5,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Greenville Rd to Springtown Blvd,28014,28,1,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Springtown to Isabel Ave,28024,28,2,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Isabel Ave to Fallon Rd,28034,28,3,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Fallon Rd to Hacienda Dr,28044,28,4,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
I-580 EL EB Hacienda Dr to San Ramon Rd,28054,28,5,expr_lane,4,0,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.14,0
SR-237 EL SB Dixon Landing Rd to N First Ave (Westbound),31014,31,1,expr_lane,4,0,0.94,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0.17,0,0,0.94,0,0.16,0,0,0.94,0,0.16,0,0,0.94,0,0.16,0
SR-237 EL NB N First Ave to Dixon Landing Rd (Eastbound),32014,32,1,expr_lane,4,0,0.06,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.62,0,0,0.06,0,0.57,0,0,0.06,0,0.57,0,0,0.06,0,0.57,0
I-680 CCEL NB Alcosta to Crow Canyon (Crow Canyon NB pricing zone),33012,33,1,expr_lane,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL NB Alcosta to Crow Canyon (Crow Canyon NB pricing zone),33014,33,1,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL NB Crow Canyon to Livorna (Livorna pricing zone),33024,33,2,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL SB Rudgear to Crow Canyon (Crow Canyon SB pricing zone),34012,34,1,expr_lane,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL SB Rudgear to Crow Canyon (Crow Canyon SB pricing zone),34014,34,1,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-680 CCEL SB Crow Canyon to Alcosta (Alcosta pricing zone),34024,34,2,expr_lane,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
